id,가변전광표지판명,sido,gugun,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,year_code
393,올림픽대로,서울특별시,강서구,11500,3,올림픽대로,88번,1.0,37.579008,126.833853,8000,1600,8400.0,2000.0,6640.0,2,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,2단10열,18
394,개화터널 공항(33+920),서울특별시,강서구,11500,1,인천국제공항고속도로,130번,1.0,37.584812,126.81256599999999,10400,1600,10900.0,1950.0,6225.0,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,2단13열,18
395,개화터널 서울(32+790),서울특별시,강서구,11500,1,인천국제공항고속도로,130번,2.0,37.585527,126.800276,10400,1600,10900.0,1950.0,6225.0,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,2단13열,18
396,미사IC,서울특별시,강동구,11740,고속,서울양양고속도로,60번,2.0,37.576389,127.171944,16000,3000,17000.0,3600.0,7600.0,1,2,1,빨간색+노란색+녹색,2,3단16열,9
397,중랑-남구리,서울특별시,중랑구,11260,고속,구리포천고속도로,29번,1.0,37.361785999999995,127.65259099999999,6000,1200,6400.0,1600.0,4500.0,1,2,1,빨간색+노란색+녹색,2,2단10열,17
398,헌릉IC(용인),서울특별시,강남구,11680,고속,용인서울고속도로,171번,2.0,37.462801,127.09319199999999,7200,1200,7800.0,1600.0,6600.0,3,2,1,빨간색+노란색+녹색,2,2단12열,21
399,개화터널 공항(33+920),서울특별시,강서구,31500,고속,인천국제공항고속도로,5,1.0,37.584755,126.812666,10400,1600,10900.0,1950.0,6225.0,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,2단13열,18
400,올림픽대로(1+0),서울특별시,강서구,31500,일반,올림픽대로,5,1.0,37.578972,126.83376499999999,8000,1600,8400.0,2000.0,6640.0,3,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,2단10열,18
401,개화터널 서울(32+790),서울특별시,강서구,31500,고속,인천국제공항고속도로,5,2.0,37.585516,126.80013899999999,10400,1600,10900.0,1950.0,6225.0,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,2단13열,18
402,국도 반포(고속TM),서울특별시,서초구,11650,고속,사평대로,92번,2.0,37.503056,127.017778,6000,600,6600.0,1000.0,8500.0,1,2,1,모든 색상,2,1단10열,19
403,국도 서초(도곡),서울특별시,서초구,11650,고속,남부순환로,92번,1.0,37.484167,127.030556,6000,600,6600.0,1000.0,8500.0,1,2,1,모든 색상,2,1단10열,19
404,국도 서초(서초),서울특별시,서초구,11650,고속,남부순환로,92번,2.0,37.482778,127.022222,6000,600,6600.0,1000.0,8500.0,1,2,1,모든 색상,2,1단10열,19
405,만남의광장 교통안내,서울특별시,서초구,11650,고속,경부고속도로,1번,1.0,37.47007,127.033472,1200,1200,1400.0,1400.0,6000.0,1,2,1,빨간색+노란색+녹색,2,2단2열,17
406,서울방향 양재IC,서울특별시,서초구,11650,고속,경부고속도로,1번,2.0,37.463611,127.039722,12600,1800,10000.0,2200.0,7500.0,2,2,1,빨간색+노란색+녹색,2,3단21열,14
407,부산방향 양재IC,서울특별시,서초구,11650,고속,경부고속도로,1번,1.0,37.464115,127.039028,12600,1800,10000.0,2200.0,7500.0,2,2,1,빨간색+노란색+녹색,2,3단21열,14
408,국도 양재(화훼),서울특별시,서초구,11650,고속,강남대로,41번,1.0,37.468056,127.040278,6000,600,6600.0,1000.0,8500.0,1,2,1,모든 색상,2,1단10열,19
409,부산방향 양재IC(BUS),서울특별시,서초구,11650,고속,경부고속도로,1번,1.0,37.45382,127.048825,2400,600,3400.0,1600.0,7500.0,2,2,1,빨간색+노란색+녹색,2,1단6열,10
410,국도 송파IC(헌릉로),서울특별시,강남구,11680,고속,헌릉로,71번,2.0,37.464953,127.11183899999999,6000,1200,6400.0,1600.0,8000.0,1,2,1,빨간색+노란색+녹색,2,2단10열,14
411,국도 송파IC(장지역),서울특별시,송파구,11710,고속,송파대로,71번,1.0,37.480672,127.12498899999999,6000,1200,6400.0,1600.0,8000.0,1,2,1,빨간색+노란색+녹색,2,2단10열,9
